dataid,local_15min,air1,clotheswasher_dryg1,dishwasher1,disposal1,furnace1,grid,kitchenapp1,kitchenapp2,microwave1,refrigerator1,solar
9836,0,0,0.004,0,0,0.007,0.758,0,0.007,0.006,0.07,0.001
9836,0.25,0,0.004,0,0,0.007,0.702,0,0.007,0.005,0.012,0.001
9836,0.5,0,0.004,0,0,0.007,0.637,0,0.007,0.005,0.076,0.002
9836,0.75,0,0.004,0.001,0,0.007,0.926,0.001,0.007,0.004,0.093,0.001
9836,1,0,0.004,0,0,0.007,0.677,0,0.007,0.005,0.011,0.002
9836,1.25,0,0.004,0,0,0.007,0.406,0,0.007,0.005,0.054,0
9836,1.5,0,0.004,0,0,0.007,0.412,0,0.007,0.005,0.1,0
9836,1.75,0,0.004,0,0,0.007,0.288,0,0.007,0.005,0.02,0
9836,2,0,0.004,0,0,0.007,0.318,0,0.007,0.005,0.035,0
9836,2.25,0,0.004,0,0,0.007,0.365,0,0.007,0.005,0.106,0
9836,2.5,0,0.004,0,0,0.007,0.396,0,0.007,0.005,0.103,0
9836,2.75,0,0.004,0,0,0.007,0.342,0,0.007,0.005,0.05,0
9836,3,0,0.004,0,0,0.007,0.268,0,0.007,0.005,0.011,0
9836,3.25,0,0.004,0,0,0.007,0.366,0,0.007,0.005,0.092,0
9836,3.5,0,0.004,0,0,0.007,0.326,0,0.007,0.005,0.07,0
9836,3.75,0,0.004,0,0,0.007,0.272,0,0.007,0.005,0.011,0
9836,4,0,0.004,0,0,0.007,0.338,0,0.007,0.005,0.071,0
9836,4.25,0,0.004,0,0,0.007,0.342,0,0.007,0.005,0.09,0
9836,4.5,0,0.004,0,0,0.007,0.295,0,0.007,0.005,0.011,0
9836,4.75,0,0.004,0,0,0.007,0.294,0,0.007,0.005,0.053,0
9836,5,0,0.004,0,0,0.007,0.353,0,0.007,0.005,0.1,0
9836,5.25,0,0.004,0,0,0.007,0.3,0,0.007,0.005,0.017,0
9836,5.5,0,0.004,0,0,0.007,0.276,0,0.007,0.005,0.036,0
9836,5.75,0,0.004,0,0,0.007,0.379,0,0.007,0.005,0.105,0
9836,6,0,0.004,0,0,0.007,0.363,0,0.007,0.005,0.103,0
9836,6.25,0,0.004,0,0,0.007,0.279,0,0.007,0.005,0.04,0
9836,6.5,0,0.004,0,0,0.007,0.295,0,0.007,0.005,0.012,0
9836,6.75,0,0.004,0,0,0.007,0.344,0,0.007,0.005,0.094,0
9836,7,0,0.004,0,0,0.007,0.308,0,0.007,0.005,0.068,0
9836,7.25,0,0.004,0,0,0.007,0.292,0,0.007,0.005,0.009,0
9836,7.5,0,0.004,0,0,0.007,0.309,0,0.007,0.005,0.015,0
9836,7.75,0,0.004,0,0,0.007,0.296,0,0.007,0.005,0.094,-0.001
9836,8,0,0.004,0,0,0.007,0.256,0,0.007,0.005,0.093,0.003
9836,8.25,0,0.004,0,0,0.007,0.22,0,0.007,0.005,0.088,0.024
9836,8.5,0,0.004,0,0,0.007,0.317,0,0.007,0.005,0.028,0.059
9836,8.75,0,0.004,0,0,0.007,0.148,0,0.007,0.005,0.009,0.106
9836,9,0,0.004,0,0,0.007,-0.03,0,0.007,0.005,0.055,0.202
9836,9.25,0,0.004,0,0,0.007,-0.016,0,0.007,0.005,0.092,0.245
9836,9.5,0,0.004,0,0,0.007,0.005,0,0.007,0.005,0.093,0.259
9836,9.75,0,0.004,0,0,0.007,-0.133,0,0.007,0.005,0.089,0.378
9836,10,0,0.004,0,0,0.007,-0.44,0,0.007,0.005,0.071,0.626
9836,10.25,0,0.004,0,0,0.007,-0.483,0,0.007,0.005,0.009,0.635
9836,10.5,0,0.004,0,0,0.007,-0.551,0,0.007,0.005,0.009,0.7
9836,10.75,0,0.004,0,0,0.007,-0.686,0,0.007,0.005,0.042,0.842
9836,11,0,0.004,0,0,0.007,-0.697,0,0.007,0.005,0.092,0.947
9836,11.25,0,0.004,0,0,0.007,-0.821,0,0.007,0.005,0.094,1.041
9836,11.5,0,0.004,0,0,0.007,-0.887,0,0.007,0.005,0.088,1.123
9836,11.75,0,0.004,0,0,0.007,-1.067,0,0.007,0.005,0.016,1.225
9836,12,0,0.004,0,0,0.007,-1.181,0,0.007,0.005,0.008,1.336
9836,12.25,0,0.004,0,0,0.007,-1.233,0,0.007,0.005,0.022,1.406
9836,12.5,0,0.004,0,0,0.007,-1.272,0,0.007,0.006,0.091,1.488
9836,12.75,0,0.004,0,0,0.007,-1.375,0,0.007,0.006,0.093,1.636
9836,13,0,0.004,0,0,0.007,-1.48,0,0.007,0.006,0.089,1.699
9836,13.25,0,0.004,0,0,0.007,-1.6,0,0.007,0.005,0.015,1.765
9836,13.5,0,0.004,0,0,0.007,-1.631,0,0.007,0.005,0.007,1.809
9836,13.75,0,0.004,0,0,0.007,-1.728,0,0.007,0.006,0.021,1.867
9836,14,0,0.004,0,0,0.007,-1.393,0,0.007,0.006,0.091,1.651
9836,14.25,0,0.004,0.001,0,0.007,-1.692,0,0.007,0.006,0.093,1.957
9836,14.5,0,0.004,0,0,0.007,-1.727,0,0.007,0.006,0.088,1.935
9836,14.75,0,0.004,0,0,0.007,-1.764,0,0.007,0.006,0.013,1.946
9836,15,0,0.004,0,0,0.007,-1.782,0,0.007,0.006,0.007,1.915
9836,15.25,0,0.004,0,0,0.007,-1.761,0,0.007,0.006,0.023,1.903
9836,15.5,0,0.004,0.001,0,0.007,-1.615,0,0.007,0.006,0.091,1.899
9836,15.75,0,0.004,0.001,0,0.007,-1.612,0,0.007,0.006,0.093,1.884
9836,16,0,0.004,0,0,0.007,-1.633,0,0.007,0.006,0.087,1.849
9836,16.25,0,0.004,0,0,0.007,-1.64,0,0.007,0.006,0.007,1.811
9836,16.5,0,0.004,0,0,0.007,-1.591,0,0.007,0.006,0.008,1.776
9836,16.75,0,0.004,0,0,0.007,-1.531,0,0.007,0.006,0.03,1.72
9836,17,0,0.004,0,0,0.007,-1.45,0,0.007,0.006,0.092,1.674
9836,17.25,0,0.004,0,0,0.007,-1.358,0,0.007,0.006,0.093,1.619
9836,17.5,0,0.004,0,0,0.007,-1.31,0,0.007,0.006,0.08,1.545
9836,17.75,0,0.004,0,0,0.007,-1.324,0,0.007,0.005,0.008,1.475
9836,18,0,0.004,0,0,0.007,-1.228,0,0.007,0.005,0.008,1.389
9836,18.25,0,0.004,0,0,0.007,-1.112,0,0.007,0.005,0.037,1.303
9836,18.5,0,0.004,0,0,0.007,-0.968,0,0.007,0.005,0.093,1.207
9836,18.75,0,0.004,0,0,0.007,-0.862,0,0.007,0.005,0.094,1.105
9836,19,0,0.004,0,0,0.007,-0.773,0,0.007,0.005,0.073,1
9836,19.25,0,0.004,0,0,0.007,-0.76,0,0.007,0.005,0.008,0.896
9836,19.5,0,0.004,0,0,0.008,-0.612,0,0.007,0.005,0.008,0.784
9836,19.75,0,0.004,0,0,0.007,-0.483,0,0.007,0.005,0.044,0.671
9836,20,0,0.004,0,0,0.007,-0.328,0,0.007,0.005,0.093,0.555
9836,20.25,0,0.004,0,0,0.007,-0.185,0,0.007,0.005,0.095,0.441
9836,20.5,0,0.004,0,0,0.007,-0.151,0,0.007,0.005,0.065,0.332
9836,20.75,0,0.004,0,0,0.007,-0.062,0,0.007,0.005,0.008,0.232
9836,21,0,0.004,0,0,0.007,-0.005,0,0.007,0.005,0.008,0.14
9836,21.25,0,0.004,0,0,0.007,0.168,0,0.007,0.005,0.051,0.032
9836,21.5,0,0.004,0,0,0.007,0.209,0,0.007,0.005,0.093,0.011
9836,21.75,0,0.004,0,0,0.007,0.262,0,0.007,0.005,0.094,-0.006
9836,22,0,0.004,0,0,0.007,0.297,0,0.007,0.005,0.058,-0.015
9836,22.25,0,0.004,0,0,0.007,0.466,0,0.007,0.005,0.009,-0.006
9836,22.5,0,0.004,0,0,0.007,0.449,0,0.007,0.005,0.008,0
9836,22.75,0,0.004,0,0,0.007,0.539,0,0.007,0.005,0.08,0
9836,23,0,0.004,0,0,0.007,0.629,0,0.007,0.005,0.094,0
9836,23.25,0,0.004,0,0,0.007,0.376,0,0.007,0.005,0.091,0
9836,23.5,0,0.004,0,0,0.007,0.823,0,0.007,0.393,0.035,0
9836,23.75,0,0.004,0,0,0.007,0.464,0,0.007,0.005,0.037,0
9836,24,0,0.004,0,0,0.007,0.419,0,0.007,0.005,0.092,0
9836,24.25,0,0.004,0,0,0.007,0.313,0,0.007,0.005,0.088,0
9836,24.5,0,0.004,0,0,0.007,0.522,0,0.007,0.005,0.016,0
9836,24.75,0,0.004,0,0,0.007,0.518,0,0.007,0.005,0.008,0.001
9836,25,0,0.004,0,0,0.007,0.307,0,0.007,0.005,0.017,0
9836,25.25,0,0.004,0,0,0.007,0.332,0,0.007,0.005,0.09,0
9836,25.5,0,0.004,0,0,0.007,0.346,0,0.007,0.005,0.092,0
9836,25.75,0,0.004,0,0,0.007,0.306,0,0.007,0.005,0.081,0
9836,26,0,0.004,0,0,0.007,0.231,0,0.007,0.005,0.008,0
9836,26.25,0,0.004,0,0,0.007,0.259,0,0.007,0.005,0.008,0
9836,26.5,0,0.004,0,0,0.007,0.239,0,0.007,0.005,0.028,0
9836,26.75,0,0.004,0,0,0.007,0.328,0,0.007,0.005,0.09,0
9836,27,0,0.004,0,0,0.007,0.327,0,0.007,0.005,0.091,0
9836,27.25,0,0.004,0,0,0.007,0.276,0,0.007,0.005,0.058,0
9836,27.5,0,0.004,0,0,0.007,0.233,0,0.007,0.005,0.008,0
9836,27.75,0,0.004,0,0,0.007,0.232,0,0.007,0.005,0.008,0
9836,28,0,0.004,0,0,0.007,0.291,0,0.007,0.005,0.049,0
9836,28.25,0,0.004,0,0,0.007,0.312,0,0.007,0.005,0.091,0
9836,28.5,0,0.004,0,0,0.007,0.338,0,0.007,0.005,0.089,0
9836,28.75,0,0.004,0,0,0.007,0.242,0,0.007,0.005,0.03,0
9836,29,0,0.004,0,0,0.007,0.229,0,0.007,0.005,0.008,0
9836,29.25,0,0.004,0,0,0.007,0.259,0,0.007,0.005,0.008,0
9836,29.5,0,0.004,0,0,0.007,0.286,0,0.007,0.005,0.077,0
9836,29.75,0,0.004,0,0,0.007,0.342,0,0.007,0.005,0.091,0
9836,30,0,0.004,0,0,0.007,0.301,0,0.007,0.005,0.08,0
9836,30.25,0,0.004,0,0,0.007,0.217,0,0.007,0.005,0.009,0
9836,30.5,0,0.004,0,0,0.007,0.261,0,0.007,0.005,0.009,0
9836,30.75,0,0.004,0,0,0.007,0.249,0,0.007,0.005,0.027,0
9836,31,0,0.004,0,0,0.007,0.324,0,0.007,0.005,0.09,0
9836,31.25,0,0.004,0,0,0.007,0.318,0,0.007,0.005,0.091,0
9836,31.5,0,0.004,0,0,0.007,0.27,0,0.007,0.005,0.048,0
9836,31.75,0,0.004,0,0,0.007,0.239,0,0.007,0.005,0.009,0
9836,32,0,0.004,0,0,0.007,0.138,0,0.007,0.005,0.009,0
9836,32.25,0,0.004,0,0,0.007,0.169,0,0.007,0.005,0.056,0.012
9836,32.5,0,0.004,0,0,0.007,0.18,0,0.007,0.005,0.091,0.054
9836,32.75,0,0.004,0,0,0.007,0.133,0,0.007,0.005,0.088,0.081
9836,33,0,0.004,0,0,0.007,0.2,0,0.007,0.005,0.019,0.136
9836,33.25,0,0.004,0,0,0.007,0.073,0,0.007,0.005,0.01,0.189
9836,33.5,0,0.004,0,0,0.007,-0.007,0,0.007,0.005,0.051,0.251
9836,33.75,0,0.004,0,0,0.007,-0.024,0,0.007,0.005,0.091,0.296
9836,34,0,0.004,0,0,0.007,-0.149,0,0.007,0.005,0.088,0.361
9836,34.25,0,0.004,0,0,0.007,-0.218,0,0.007,0.005,0.025,0.371
9836,34.5,0,0.004,0,0,0.007,-0.554,0,0.007,0.005,0.009,0.721
9836,34.75,0,0.004,0,0,0.007,-0.742,0,0.007,0.005,0.009,0.865
9836,35,0,0.004,0,0,0.007,-0.732,0,0.007,0.005,0.073,0.955
9836,35.25,0,0.004,0,0,0.007,-0.822,0,0.007,0.005,0.092,1.051
9836,35.5,0,0.004,0,0,0.007,-0.928,0,0.007,0.005,0.089,1.139
9836,35.75,0,0.004,0,0,0.007,-1.079,0,0.007,0.005,0.009,1.243
9836,36,0,0.004,0,0,0.007,-1.225,0,0.007,0.005,0.008,1.374
9836,36.25,0,0.004,0,0,0.007,-1.28,0,0.007,0.005,0.021,1.44
9836,36.5,0,0.004,0,0,0.007,-1.266,0,0.007,0.005,0.09,1.522
9836,36.75,0,0.004,0,0,0.007,-1.453,0,0.007,0.005,0.092,1.67
9836,37,0,0.004,0,0,0.007,-1.525,0,0.007,0.005,0.059,1.739
9836,37.25,0,0.004,0,0,0.007,-1.647,0,0.007,0.005,0.008,1.79
9836,37.5,0,0.004,0,0,0.007,-1.676,0,0.007,0.005,0.007,1.841
9836,37.75,0,0.004,0,0,0.007,-1.67,0,0.007,0.005,0.049,1.877
9836,38,0,0.004,0,0,0.007,-1.69,0,0.007,0.006,0.091,1.917
9836,38.25,0,0.004,0,0,0.007,-1.694,0,0.007,0.006,0.091,1.949
9836,38.5,0,0.004,0,0,0.007,-1.75,0,0.007,0.006,0.051,1.965
9836,38.75,0,0.004,0,0,0.007,-1.744,0,0.007,0.006,0.088,1.963
9836,39,0,0.004,0.002,0,0.007,-1.595,0,0.007,0.006,0.178,1.943
